Card,Quantity,NeedToAcquire,Image
Ankle Biter,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Ankle%20Biter&format=image&version=normal")
Jaddi Offshoot,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Jaddi%20Offshoot&format=image&version=normal")
Bogwater Lumaret,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Bogwater%20Lumaret&format=image&version=normal")
Frog Butler,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Frog%20Butler&format=image&version=normal")
"Michelangelo, Weirdness to 11",1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Michelangelo%2C%20Weirdness%20to%2011&format=image&version=normal")
Noxious Newt,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Noxious%20Newt&format=image&version=normal")
"Teacher's Pest",1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Teacher%27s%20Pest&format=image&version=normal")
"Dina, Soul Steeper",1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Dina%2C%20Soul%20Steeper&format=image&version=normal")
Witherbloom Apprentice,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Witherbloom%20Apprentice&format=image&version=normal")
Prosperous Innkeeper,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Prosperous%20Innkeeper&format=image&version=normal")
Send in the Pest,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Send%20in%20the%20Pest&format=image&version=normal")
"Blech, Loafing Pest",1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Blech%2C%20Loafing%20Pest&format=image&version=normal")
Essenceknit Scholar,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Essenceknit%20Scholar&format=image&version=normal")
Hornet Nest,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Hornet%20Nest&format=image&version=normal")
Marauding Blight-Priest,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Marauding%20Blight-Priest&format=image&version=normal")
"Moseo, Vein's New Dean",1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Moseo%2C%20Vein%27s%20New%20Dean&format=image&version=normal")
Ophiomancer,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Ophiomancer&format=image&version=normal")
"Shopkeeper's Bane",1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Shopkeeper%27s%20Bane&format=image&version=normal")
Starlit Soothsayer,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Starlit%20Soothsayer&format=image&version=normal")
Sporeweb Weaver,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Sporeweb%20Weaver&format=image&version=normal")
Pest Summoning,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Pest%20Summoning&format=image&version=normal")
Cauldron of Essence,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Cauldron%20of%20Essence&format=image&version=normal")
Pestbrood Sloth,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Pestbrood%20Sloth&format=image&version=normal")
The Swarmweaver,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=The%20Swarmweaver&format=image&version=normal")
Mirkwood Bats,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Mirkwood%20Bats&format=image&version=normal")
Iridescent Hornbeetle,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Iridescent%20Hornbeetle&format=image&version=normal")
Sanguine Bond,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Sanguine%20Bond&format=image&version=normal")
"Gwenom, Remorseless",1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Gwenom%2C%20Remorseless&format=image&version=normal")
Persistent Constrictor,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Persistent%20Constrictor&format=image&version=normal")
Hornet Queen,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Hornet%20Queen&format=image&version=normal")
Sol Ring,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Sol%20Ring&format=image&version=normal")
Rampant Growth,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Rampant%20Growth&format=image&version=normal")
Farseek,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Farseek&format=image&version=normal")
Cultivate,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Cultivate&format=image&version=normal")
"Kodama's Reach",1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Kodama%27s%20Reach&format=image&version=normal")
Explosive Vegetation,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Explosive%20Vegetation&format=image&version=normal")
Migration Path,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Migration%20Path&format=image&version=normal")
Burnished Hart,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Burnished%20Hart&format=image&version=normal")
Naga Vitalist,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Naga%20Vitalist&format=image&version=normal")
Orochi Sustainer,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Orochi%20Sustainer&format=image&version=normal")
Village Rites,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Village%20Rites&format=image&version=normal")
Corrupted Conviction,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Corrupted%20Conviction&format=image&version=normal")
Sign in Blood,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Sign%20in%20Blood&format=image&version=normal")
"Night's Whisper",1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Night%27s%20Whisper&format=image&version=normal")
Deadly Dispute,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Deadly%20Dispute&format=image&version=normal")
Costly Plunder,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Costly%20Plunder&format=image&version=normal")
"Altar's Reap",1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Altar%27s%20Reap&format=image&version=normal")
"Reckoner's Bargain",1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Reckoner%27s%20Bargain&format=image&version=normal")
Read the Bones,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Read%20the%20Bones&format=image&version=normal")
Syphon Mind,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Syphon%20Mind&format=image&version=normal")
"Ambition's Cost",1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Ambition%27s%20Cost&format=image&version=normal")
Ancient Craving,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Ancient%20Craving&format=image&version=normal")
Heartless Act,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Heartless%20Act&format=image&version=normal")
Bite Down,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Bite%20Down&format=image&version=normal")
Rocky Rebuke,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Rocky%20Rebuke&format=image&version=normal")
Witherbloom Charm,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Witherbloom%20Charm&format=image&version=normal")
Go for the Throat,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Go%20for%20the%20Throat&format=image&version=normal")
Feed the Swarm,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Feed%20the%20Swarm&format=image&version=normal")
Return to Nature,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Return%20to%20Nature&format=image&version=normal")
Putrefy,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Putrefy&format=image&version=normal")
Crypt Incursion,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Crypt%20Incursion&format=image&version=normal")
Haywire Mite,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Haywire%20Mite&format=image&version=normal")
Ba Sing Se,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Ba%20Sing%20Se&format=image&version=normal")
Command Tower,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Command%20Tower&format=image&version=normal")
Foggy Bottom Swamp,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Foggy%20Bottom%20Swamp&format=image&version=normal")
Hidden Grotto,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Hidden%20Grotto&format=image&version=normal")
Mudflat Village,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Mudflat%20Village&format=image&version=normal")
Titan's Grave,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Titan%27s%20Grave&format=image&version=normal")
Thriving Grove,2,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Thriving%20Grove&format=image&version=normal")
Thriving Moor,1,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Thriving%20Moor&format=image&version=normal")
Jungle Hollow,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Jungle%20Hollow&format=image&version=normal")
Evolving Wilds,1,Yes,=IMAGE("https://api.scryfall.com/cards/named?exact=Evolving%20Wilds&format=image&version=normal")
Forest,13,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Forest&format=image&version=normal")
Swamp,14,No,=IMAGE("https://api.scryfall.com/cards/named?exact=Swamp&format=image&version=normal")
