Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Mana Value,Image,Price,Rule Text
1,Arachnogenesis,true,false,,On Theme,Rare,DSC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arachnogenesis&format=image&version=normal"")",$7.23,"Create X 1/2 green Spider creature tokens with reach, where X is the number of creatures attacking you. Prevent all combat damage that would be dealt this turn by non-Spider creatures."
1,Arasta of the Endless Web,true,false,,On Theme,Rare,TDC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arasta%20of%20the%20Endless%20Web&format=image&version=normal"")",$0.38,"Reach Whenever an opponent casts an instant or sorcery spell, create a 1/2 green Spider creature token with reach."
1,Ba Sing Se,true,false,,Lands,Rare,TLA,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ba%20Sing%20Se&format=image&version=normal"")",$3.92,"This land enters tapped unless you control a basic land. {T}: Add {G}. {2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)"
1,"Blech, Loafing Pest",true,false,,On Theme,Rare,PSOS,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Blech%2C%20Loafing%20Pest&format=image&version=normal"")",$0.88,"Whenever you gain life, put a +1/+1 counter on each Pest, Bat, Insect, Snake, and Spider you control."
1,"Blex, Vexing Pest // Search for Blex",true,false,,On Theme,Mythic,STX,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Blex%2C%20Vexing%20Pest%20//%20Search%20for%20Blex&format=image&version=normal"")",$12.38,
1,Bogwater Lumaret,true,false,,On Theme,Common,SOS,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Bogwater%20Lumaret&format=image&version=normal"")",$0.27,"Whenever this creature or another creature you control enters, you gain 1 life."
1,Brawn,false,false,,On Theme,Uncommon,M3C,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Brawn&format=image&version=normal"")",$0.40,"Trample As long as this card is in your graveyard and you control a Forest, creatures you control have trample."
1,Cauldron of Essence,true,false,,On Theme,Rare,PSOS,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cauldron%20of%20Essence&format=image&version=normal"")",$4.62,"Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life. {1}{B}{G}, {T}, Sacrifice a creature: Return target creature card from your graveyard to the battlefield. Activate only as a sorcery."
1,Command Tower,true,false,,Lands,Common,MSC,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Command%20Tower&format=image&version=normal"")",$0.41,{T}: Add one mana of any color in your commander's color identity.
1,Cultivate,true,false,,Ramp,Common,MSC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cultivate&format=image&version=normal"")",$0.35,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
1,Darkstar Augur,true,false,,Card Advantage,Rare,BLB,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Darkstar%20Augur&format=image&version=normal"")",$0.86,"Offspring {B} (You may pay an additional {B} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.) Flying At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value."
1,Deathcap Glade,true,false,,Lands,Rare,SOS,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Deathcap%20Glade&format=image&version=normal"")",$2.09,This land enters tapped unless you control two or more other lands. {T}: Add {B} or {G}.
1,Duskshell Crawler,true,false,,On Theme,Common,FIC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Duskshell%20Crawler&format=image&version=normal"")",$0.33,"When this creature enters, put a +1/+1 counter on target creature. Each creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)"
1,Eccentric Pestfinder // Turn Stones,true,false,,On Theme,Rare,SOC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Eccentric%20Pestfinder%20//%20Turn%20Stones&format=image&version=normal"")",$0.36,
1,Enduring Tenacity,true,false,,On Theme,Rare,PDSK,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Enduring%20Tenacity&format=image&version=normal"")",$14.49,"Whenever you gain life, target opponent loses that much life. When Enduring Tenacity dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)"
1,Epic Fight,true,false,,Interaction,Rare,MSH,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Epic%20Fight&format=image&version=normal"")",$0.36,Choose one or both — • Double target creature's power and toughness until end of turn. • Target creature you control fights target creature an opponent controls.
1,Essence Warden,true,false,,On Theme,Common,LTC,1,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Essence%20Warden&format=image&version=normal"")",$10.48,"Whenever another creature enters, you gain 1 life."
1,Essenceknit Scholar,true,false,,Card Advantage,Uncommon,SOS,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Essenceknit%20Scholar&format=image&version=normal"")",$0.28,"When this creature enters, create a 1/1 black and green Pest creature token with ""Whenever this token attacks, you gain 1 life."" At the beginning of your end step, if a creature died under your control this turn, draw a card."
1,Eumidian Terrabotanist,true,false,,On Theme,Uncommon,EOE,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Eumidian%20Terrabotanist&format=image&version=normal"")",$0.27,"Landfall — Whenever a land you control enters, you gain 1 life."
1,Explore,true,false,,Card Advantage,Common,TLE,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Explore&format=image&version=normal"")",$0.24,You may play an additional land this turn. Draw a card.
1,Foggy Bottom Swamp,true,false,,Lands,Common,TLA,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Foggy%20Bottom%20Swamp&format=image&version=normal"")",$0.19,"This land enters tapped. {T}: Add {B} or {G}. {4}, {T}, Sacrifice this land: Draw a card."
12,Forest,true,false,,Lands,Common,HOB,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Forest&format=image&version=normal"")",$2.00,({T}: Add {G}.)
1,"Fumulus, the Infestation",true,false,,On Theme,Rare,J25,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Fumulus%2C%20the%20Infestation&format=image&version=normal"")",$7.89,"Flying, deathtouch Whenever a player sacrifices a nontoken creature, create a 1/1 black Insect creature token with flying. Whenever an Insect, Leech, Slug, or Worm you control attacks, defending player loses 1 life and you gain 1 life."
1,Giant Adephage,true,false,,On Theme,Mythic,DSC,7,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Giant%20Adephage&format=image&version=normal"")",$0.39,"Trample Whenever this creature deals combat damage to a player, create a token that's a copy of this creature."
1,Go for the Throat,true,false,,Interaction,Uncommon,J25,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Go%20for%20the%20Throat&format=image&version=normal"")",$0.36,Destroy target nonartifact creature.
1,Grapple with Death,true,false,,Interaction,Common,SOS,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Grapple%20with%20Death&format=image&version=normal"")",$0.19,Destroy target artifact or creature. You gain 1 life.
1,Guy in the Chair,true,false,,Ramp,Common,SPM,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Guy%20in%20the%20Chair&format=image&version=normal"")",$0.16,"{T}: Add one mana of any color. Web Support — {2}{G}, {T}: Put a +1/+1 counter on target Spider. Activate only as a sorcery."
1,"Gwenom, Remorseless",true,false,,Card Advantage,Mythic,SPM,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gwenom%2C%20Remorseless&format=image&version=normal"")",$5.06,"Deathtouch, lifelink Whenever Gwenom attacks, until end of turn, you may look at the top card of your library any time and you may play cards from the top of your library. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost."
1,Harmonize,true,false,,Card Advantage,Uncommon,MSC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Harmonize&format=image&version=normal"")",$0.22,Draw three cards.
1,Hidden Grotto,true,false,,Lands,Common,BLB,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Hidden%20Grotto&format=image&version=normal"")",$0.24,"When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color."
1,Hooded Hydra,true,false,,On Theme,Mythic,MKC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Hooded%20Hydra&format=image&version=normal"")",$2.29,"This creature enters with X +1/+1 counters on it. When this creature dies, create a 1/1 green Snake creature token for each +1/+1 counter on it. Morph {3}{G}{G} As this creature is turned face up, put five +1/+1 counters on it."
1,Hornet Nest,true,false,,On Theme,Rare,TDC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Hornet%20Nest&format=image&version=normal"")",$0.35,"Defender (This creature can't attack.) Whenever this creature is dealt damage, create that many 1/1 green Insect creature tokens with flying and deathtouch. (Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it.)"
1,Hornet Queen,true,false,,On Theme,Rare,DSC,7,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Hornet%20Queen&format=image&version=normal"")",$0.35,"Flying, deathtouch When this creature enters, create four 1/1 green Insect creature tokens with flying and deathtouch."
1,Marauding Blight-Priest,true,false,,On Theme,Common,FDN,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Marauding%20Blight-Priest&format=image&version=normal"")",$0.28,"Whenever you gain life, each opponent loses 1 life."
1,March of the World Ooze,true,false,,On Theme,Mythic,PDFT,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=March%20of%20the%20World%20Ooze&format=image&version=normal"")",$2.12,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types. Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token."
1,"Michelangelo, Weirdness to 11",true,false,,On Theme,Rare,TMT,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Michelangelo%2C%20Weirdness%20to%2011&format=image&version=normal"")",$3.02,"When Michelangelo enters, create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."") If one or more +1/+1 counters would be put on a creature you control, that many plus one +1/+1 counters are put on it instead."
1,"Moseo, Vein's New Dean",true,false,,On Theme,Rare,SOS,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Moseo%2C%20Vein%27s%20New%20Dean&format=image&version=normal"")",$1.14,"Flying When Moseo enters, create a 1/1 black and green Pest creature token with ""Whenever this token attacks, you gain 1 life."" Infusion — At the beginning of your end step, if you gained life this turn, return up to one target creature card with mana value X or less from your graveyard to the battlefield, where X is the amount of life you gained this turn."
1,Mudflat Village,true,false,,Lands,Uncommon,BLB,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Mudflat%20Village&format=image&version=normal"")",$0.34,"{T}: Add {C}. {T}: Add {B}. Spend this mana only to cast a creature spell. {1}{B}, {T}, Sacrifice this land: Return target Bat, Lizard, Rat, or Squirrel card from your graveyard to your hand."
1,Murder,true,false,,Interaction,Common,J25,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Murder&format=image&version=normal"")",$0.29,Destroy target creature.
