Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Mana Value,Image,Price,Rule Text
1,Abzan Beastmaster,true,false,,Card Advantage,Uncommon,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Abzan%20Beastmaster&format=image&version=normal"")",$0.21,"At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness."
1,Adventurer's Inn,true,false,,Lands,Common,FIN,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Adventurer%27s%20Inn&format=image&version=normal"")",$0.23,"When this land enters, you gain 2 life. {T}: Add {C}."
1,Alpine Grizzly,true,false,,On Theme,Common,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Alpine%20Grizzly&format=image&version=normal"")",$0.41,
1,Ancient Brontodon,true,false,,On Theme,Common,PLST,8,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ancient%20Brontodon&format=image&version=normal"")",$0.18,
1,Arcane Signet,true,false,,Ramp,Uncommon,MSC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arcane%20Signet&format=image&version=normal"")",$0.44,{T}: Add one mana of any color in your commander's color identity.
1,Austere Command,true,false,,Wrath,Rare,MSC,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Austere%20Command&format=image&version=normal"")",$0.39,Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all creatures with mana value 3 or less. • Destroy all creatures with mana value 4 or greater.
1,Beast Whisperer,true,false,,Card Advantage,Rare,CLU,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Beast%20Whisperer&format=image&version=normal"")",$7.99,"Whenever you cast a creature spell, draw a card."
1,Blossoming Sands,true,false,,Lands,Common,TDM,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Blossoming%20Sands&format=image&version=normal"")",$0.26,"This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {W}."
1,Colossal Majesty,true,false,,Card Advantage,Uncommon,CLU,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Colossal%20Majesty&format=image&version=normal"")",$1.54,"At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card."
1,Colossodon Yearling,true,false,,On Theme,Common,DTK,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Colossodon%20Yearling&format=image&version=normal"")",$0.10,
1,Conclave Mentor,false,false,,On Theme,Uncommon,PLST,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Conclave%20Mentor&format=image&version=normal"")",$0.39,"If one or more +1/+1 counters would be put on a creature you control, that many plus one +1/+1 counters are put on that creature instead. When this creature dies, you gain life equal to its power."
1,Cowl Prowler,true,false,,On Theme,Common,BBD,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cowl%20Prowler&format=image&version=normal"")",$0.03,
1,Crossroads Village,true,false,,Lands,Common,FIN,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Crossroads%20Village&format=image&version=normal"")",$0.27,"This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color."
1,Cultivate,true,false,,Ramp,Common,MSC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cultivate&format=image&version=normal"")",$0.35,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
1,Cycle of Renewal,true,false,,Card Advantage,Common,TLA,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cycle%20of%20Renewal&format=image&version=normal"")",$0.33,"Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
1,Elemental Bond,true,false,,Card Advantage,Uncommon,TDC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Elemental%20Bond&format=image&version=normal"")",$4.13,"Whenever a creature you control with power 3 or greater enters, draw a card."
1,Enormous Baloth,true,false,,On Theme,Uncommon,M10,7,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Enormous%20Baloth&format=image&version=normal"")",$0.09,
1,Ezuri's Predation,true,false,,On Theme,Rare,DSC,8,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ezuri%27s%20Predation&format=image&version=normal"")",$2.12,"For each creature your opponents control, create a 4/4 green Phyrexian Beast creature token. Each of those tokens fights a different one of those creatures."
1,Fang-Druid Summoner,false,false,,On Theme,Uncommon,DFT,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Fang-Druid%20Summoner&format=image&version=normal"")",$0.19,"Reach When this creature enters, you may search your library and/or graveyard for a creature card with no abilities, reveal it, and put it into your hand. If you search your library this way, shuffle."
1,Felidar Retreat,true,false,,On Theme,Rare,FDN,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Felidar%20Retreat&format=image&version=normal"")",$1.26,"Landfall — Whenever a land you control enters, choose one — • Create a 2/2 white Cat Beast creature token. • Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn."
1,"Flopsie, Bumi's Buddy",true,false,,On Theme,Uncommon,TLA,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Flopsie%2C%20Bumi%27s%20Buddy&format=image&version=normal"")",$0.29,"When Flopsie enters, put a +1/+1 counter on each creature you control. Each creature you control with power 4 or greater can't be blocked by more than one creature."
16,Forest,true,false,,Lands,Common,HOB,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Forest&format=image&version=normal"")",$2.00,({T}: Add {G}.)
1,Garruk's Packleader,true,false,,Card Advantage,Uncommon,J25,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Garruk%27s%20Packleader&format=image&version=normal"")",$0.29,"Whenever another creature you control with power 3 or greater enters, you may draw a card."
1,Gigantosaurus,true,false,,On Theme,Rare,PLST,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gigantosaurus&format=image&version=normal"")",$2.00,
1,Gilded Lotus,true,false,,Ramp,Rare,MSC,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gilded%20Lotus&format=image&version=normal"")",$0.53,{T}: Add three mana of any one color.
1,Good-Fortune Unicorn,true,false,,On Theme,Uncommon,FDN,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Good-Fortune%20Unicorn&format=image&version=normal"")",$0.26,"Whenever another creature you control enters, put a +1/+1 counter on that creature."
1,Gravity Well,true,false,,Interaction,Uncommon,ROE,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gravity%20Well&format=image&version=normal"")",$0.52,"Whenever a creature with flying attacks, it loses flying until end of turn."
1,Harmonize,true,false,,Card Advantage,Uncommon,MSC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Harmonize&format=image&version=normal"")",$0.22,Draw three cards.
