Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Mana Value,Image,Price,Rule Text
1,Abzan Beastmaster,false,false,,Card Advantage,Uncommon,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Abzan%20Beastmaster&format=image&version=normal"")",$0.24,"At the beginning of your upkeep, draw a card if you control the creature with the greatest toughness or tied for the greatest toughness."
1,Adventurer's Inn,true,false,,Lands,Common,FIN,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Adventurer%27s%20Inn&format=image&version=normal"")",$0.31,"When this land enters, you gain 2 life. {T}: Add {C}."
1,Ajani's Response,true,true,4WW for situational damage prevention — replaced with Gravity Well for permanent ongoing anti-flying protection,On Theme,Common,SOS,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ajani%27s%20Response&format=image&version=normal"")",$0.10,This spell costs {3} less to cast if it targets a tapped creature. Destroy target creature.
1,Alpine Grizzly,true,false,,On Theme,Common,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Alpine%20Grizzly&format=image&version=normal"")",$0.43,
1,Ancient Brontodon,true,false,,On Theme,Common,PLST,8,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ancient%20Brontodon&format=image&version=normal"")",$0.17,
1,Arcane Signet,true,false,,Ramp,Mythic,HOC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arcane%20Signet&format=image&version=normal"")",,{T}: Add one mana of any color in your commander's color identity.
1,Austere Command,true,false,,Wrath,Rare,FIC,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Austere%20Command&format=image&version=normal"")",$0.47,Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all creatures with mana value 3 or less. • Destroy all creatures with mana value 4 or greater.
1,Axebane Stag,true,true,3/4 for 7 mana catastrophically fails the 6+ CMC bar — replaced with Whiptail Wurm 8/5,On Theme,Common,RTR,7,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Axebane%20Stag&format=image&version=normal"")",$0.05,
1,Ballynock Trapper,true,true,"4 mana 2/2 tapper — fails CMC 4 bar, has abilities so no commander synergy, replaced with Rootborn Defenses for instant-speed board protection",On Theme,Common,EVE,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ballynock%20Trapper&format=image&version=normal"")",$0.18,"{T}: Tap target creature. Whenever you cast a white spell, you may untap this creature."
1,Beast Whisperer,false,false,,Card Advantage,Rare,CLU,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Beast%20Whisperer&format=image&version=normal"")",$9.41,"Whenever you cast a creature spell, draw a card."
1,Besotted Knight // Betroth the Beast,true,true,"Has adventure ability — doesn't benefit from commander evasion, replaced with recurring draw",On Theme,Common,WOE,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Besotted%20Knight%20//%20Betroth%20the%20Beast&format=image&version=normal"")",$0.20,
1,Blossoming Sands,true,false,,Lands,Common,TDM,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Blossoming%20Sands&format=image&version=normal"")",$0.20,"This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {W}."
1,Centaur Courser,true,false,,On Theme,Common,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Centaur%20Courser&format=image&version=normal"")",$0.13,
1,Cheeky House-Mouse // Squeak By,true,true,"Has adventure ability — doesn't benefit from commander evasion, replaced with recurring draw",On Theme,Uncommon,WOE,1,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cheeky%20House-Mouse%20//%20Squeak%20By&format=image&version=normal"")",$0.31,
1,Cliffhaven Sell-Sword,true,true,2/1 for 2 mana is the weakest vanilla 2-drop with 8 others already in deck — replaced with 3-drop Orazca Frillback,On Theme,Common,ZNR,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cliffhaven%20Sell-Sword&format=image&version=normal"")",$0.17,
1,Colossal Majesty,true,false,,Card Advantage,Uncommon,CLU,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Colossal%20Majesty&format=image&version=normal"")",$1.61,"At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card."
1,Colossodon Yearling,true,false,,On Theme,Common,DTK,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Colossodon%20Yearling&format=image&version=normal"")",$0.08,
1,Conclave Mentor,false,false,,On Theme,Uncommon,PLST,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Conclave%20Mentor&format=image&version=normal"")",$0.34,"If one or more +1/+1 counters would be put on a creature you control, that many plus one +1/+1 counters are put on that creature instead. When this creature dies, you gain life equal to its power."
1,Cowl Prowler,false,false,,On Theme,Common,BBD,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cowl%20Prowler&format=image&version=normal"")",$0.04,
1,Crossroads Village,true,false,,Lands,Common,FIN,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Crossroads%20Village&format=image&version=normal"")",$0.20,"This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color."
1,Cultivate,false,false,,Ramp,Common,SOC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cultivate&format=image&version=normal"")",$0.30,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
1,Cut a Deal,true,true,Gives each opponent 2 cards in a 4-player game — net card disadvantage in Commander,On Theme,Uncommon,FIC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cut%20a%20Deal&format=image&version=normal"")",$0.26,"Each opponent draws a card, then you draw a card for each opponent who drew a card this way."
1,Darksteel Ingot,true,false,,Ramp,Common,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Darksteel%20Ingot&format=image&version=normal"")",$0.21,"Indestructible (Effects that say ""destroy"" don't destroy this artifact.) {T}: Add one mana of any color."
1,Desecration Plague,true,true,Redundant enchantment removal — Naturalize already fills this role cheaper,On Theme,Common,JOU,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Desecration%20Plague&format=image&version=normal"")",$0.04,Destroy target enchantment or land.
1,Devilthorn Fox,true,false,,On Theme,Common,PLST,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Devilthorn%20Fox&format=image&version=normal"")",$0.19,
1,Druid of the Cowl,true,true,"Basic 2/3 tap for G — replaced with Incubation Druid which taps for 3 mana with a counter, guaranteed by Good-Fortune Unicorn on ETB",On Theme,Common,FDN,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Druid%20of%20the%20Cowl&format=image&version=normal"")",$0.30,{T}: Add {G}.
1,Dryad Greenseeker,true,true,Slow tap-for-maybe-a-land — replaced with Garruk's Packleader for draw-on-ETB,On Theme,Uncommon,M19,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Dryad%20Greenseeker&format=image&version=normal"")",$0.23,"{T}: Look at the top card of your library. If it's a land card, you may reveal it and put it into your hand."
1,Elemental Bond,false,false,,Card Advantage,Mythic,TLE,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Elemental%20Bond&format=image&version=normal"")",$3.83,"Whenever a creature you control with power 3 or greater enters, draw a card."
1,Elven Farsight,true,true,"One-shot scry 2 draw 1 — too low value, replaced with recurring engine",On Theme,Common,LTR,1,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Elven%20Farsight&format=image&version=normal"")",$0.46,"Scry 3, then you may reveal the top card of your library. If it's a creature card, draw a card."
1,Enormous Baloth,false,false,,On Theme,Uncommon,M10,7,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Enormous%20Baloth&format=image&version=normal"")",$0.09,
1,Ezuri's Predation,true,false,,On Theme,Rare,DSC,8,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ezuri%27s%20Predation&format=image&version=normal"")",$1.59,"For each creature your opponents control, create a 4/4 green Phyrexian Beast creature token. Each of those tokens fights a different one of those creatures."
1,Fang-Druid Summoner,true,true,"Has ETB ability — doesn't benefit from commander evasion, replaced with recurring draw",On Theme,Uncommon,DFT,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Fang-Druid%20Summoner&format=image&version=normal"")",$0.11,"Reach When this creature enters, you may search your library and/or graveyard for a creature card with no abilities, reveal it, and put it into your hand. If you search your library this way, shuffle."
1,Felidar Retreat,true,false,,On Theme,Rare,SLD,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Felidar%20Retreat&format=image&version=normal"")",$4.02,"Landfall — Whenever a land you control enters, choose one — • Create a 2/2 white Cat Beast creature token. • Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn."
1,"Flopsie, Bumi's Buddy",false,false,,On Theme,Uncommon,TLA,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Flopsie%2C%20Bumi%27s%20Buddy&format=image&version=normal"")",$0.22,"When Flopsie enters, put a +1/+1 counter on each creature you control. Each creature you control with power 4 or greater can't be blocked by more than one creature."
15,Forest,true,false,,Lands,Common,HOB,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Forest&format=image&version=normal"")",,({T}: Add {G}.)
1,Frog Butler,true,false,,On Theme,Common,TMT,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Frog%20Butler&format=image&version=normal"")",$0.27,Deathtouch {T}: Add one mana of any color. {2}: This creature gains reach until end of turn.
1,Garruk's Gorehorn,true,true,"7/3 at CMC 5 — terrible toughness, replaced by Terrian 9/7 at same CMC",On Theme,Common,M21,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Garruk%27s%20Gorehorn&format=image&version=normal"")",$0.20,
1,Garruk's Packleader,false,false,,Card Advantage,Uncommon,J25,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Garruk%27s%20Packleader&format=image&version=normal"")",$0.34,"Whenever another creature you control with power 3 or greater enters, you may draw a card."
1,Gigantosaurus,false,false,,On Theme,Rare,FDN,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gigantosaurus&format=image&version=normal"")",,
1,Good-Fortune Unicorn,false,false,,On Theme,Uncommon,FDN,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Good-Fortune%20Unicorn&format=image&version=normal"")",$0.30,"Whenever another creature you control enters, put a +1/+1 counter on that creature."
1,Gravity Well,false,false,,Interaction,Uncommon,ROE,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gravity%20Well&format=image&version=normal"")",$0.52,"Whenever a creature with flying attacks, it loses flying until end of turn."
1,Guardian Project,false,true,Replaced by Elemental Bond which covers the same draw role at a fraction of the price ($3.83 vs $17.29),On Theme,Mythic,SLD,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Guardian%20Project&format=image&version=normal"")",$17.29,"Whenever a nontoken creature you control enters, if it doesn't have the same name as another creature you control or a creature card in your graveyard, draw a card."
1,Harmonize,true,false,,Card Advantage,Uncommon,TMC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Harmonize&format=image&version=normal"")",$0.30,Draw three cards.
1,Harvest Season,true,false,,Ramp,Rare,SCD,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Harvest%20Season&format=image&version=normal"")",$0.94,"Search your library for up to X basic land cards, where X is the number of tapped creatures you control, put those cards onto the battlefield tapped, then shuffle."
1,Incubation Druid,false,false,,Ramp,Rare,FIC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Incubation%20Druid&format=image&version=normal"")",$1.12,"{T}: Add one mana of any type that a land you control could produce. If this creature has a +1/+1 counter on it, add three mana of that type instead. {3}{G}{G}: Adapt 3. (If this creature has no +1/+1 counters on it, put three +1/+1 counters on it.)"
1,Indomitable Ancients,true,false,,On Theme,Rare,TDC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Indomitable%20Ancients&format=image&version=normal"")",$0.41,
1,Jasmine Boreal of the Seven,true,false,,On Theme,Uncommon,DMC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Jasmine%20Boreal%20of%20the%20Seven&format=image&version=normal"")",,{T}: Add {G}{W}. Spend this mana only to cast creature spells with no abilities. Creatures you control with no abilities can't be blocked by creatures with abilities.
1,Kalonian Tusker,true,true,"Worst rate 2-drop at GG for a 2/2 — replaced with Ruxa which provides anthem, damage-through-blockers, and recursion for vanilla creatures",On Theme,Uncommon,M14,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Kalonian%20Tusker&format=image&version=normal"")",$0.15,
1,Keep Out,true,false,,Interaction,Common,ECL,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Keep%20Out&format=image&version=normal"")",$0.16,Choose one — • Keep Out deals 4 damage to target tapped creature. • Destroy target enchantment.
