Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Mana Value,Image,Price,Rule Text
1,Adventurer's Inn,true,false,,Lands,Common,FIN,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Adventurer%27s%20Inn&format=image&version=normal"")",$0.31,"When this land enters, you gain 2 life. {T}: Add {C}."
1,Ajani's Response,true,false,,Interaction,Common,SOS,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ajani%27s%20Response&format=image&version=normal"")",$0.10,This spell costs {3} less to cast if it targets a tapped creature. Destroy target creature.
1,Alpine Grizzly,true,false,,On Theme,Common,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Alpine%20Grizzly&format=image&version=normal"")",$0.43,
1,Ancient Brontodon,true,false,,On Theme,Common,PLST,8,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ancient%20Brontodon&format=image&version=normal"")",$0.17,
1,Arcane Signet,true,false,,Ramp,Mythic,HOC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arcane%20Signet&format=image&version=normal"")",,{T}: Add one mana of any color in your commander's color identity.
1,Austere Command,true,false,,Wrath,Rare,FIC,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Austere%20Command&format=image&version=normal"")",$0.47,Choose two — • Destroy all artifacts. • Destroy all enchantments. • Destroy all creatures with mana value 3 or less. • Destroy all creatures with mana value 4 or greater.
1,Axebane Stag,true,false,,On Theme,Common,RTR,7,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Axebane%20Stag&format=image&version=normal"")",$0.05,
1,Ballynock Trapper,true,true,Creature with activated ability; replace with vanilla body.,On Theme,Common,EVE,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ballynock%20Trapper&format=image&version=normal"")",$0.18,"{T}: Tap target creature. Whenever you cast a white spell, you may untap this creature."
1,Beast Within,false,false,,Interaction,Rare,SLD,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Beast%20Within&format=image&version=normal"")",,Destroy target permanent. Its controller creates a 3/3 green Beast creature token.
1,Besotted Knight // Betroth the Beast,true,true,Off-theme abilities/adventure; prioritize pure vanillas for Jasmine evasion.,On Theme,Common,WOE,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Besotted%20Knight%20//%20Betroth%20the%20Beast&format=image&version=normal"")",$0.20,
1,Blossoming Sands,true,false,,Lands,Common,TDM,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Blossoming%20Sands&format=image&version=normal"")",$0.20,"This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {W}."
1,Centaur Courser,true,false,,On Theme,Common,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Centaur%20Courser&format=image&version=normal"")",$0.13,
1,Cheeky House-Mouse // Squeak By,true,true,Adventure card; not a clean vanilla.,On Theme,Uncommon,WOE,1,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cheeky%20House-Mouse%20//%20Squeak%20By&format=image&version=normal"")",$0.31,
1,Cliffhaven Sell-Sword,true,true,Kicker/ability creature; replace with true vanilla.,On Theme,Common,ZNR,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cliffhaven%20Sell-Sword&format=image&version=normal"")",$0.17,
1,Colossal Majesty,true,false,,Card Advantage,Uncommon,CLU,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Colossal%20Majesty&format=image&version=normal"")",$1.61,"At the beginning of your upkeep, if you control a creature with power 4 or greater, draw a card."
1,Colossodon Yearling,true,false,,On Theme,Common,DTK,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Colossodon%20Yearling&format=image&version=normal"")",$0.08,
1,Command Tower,false,false,,Lands,Common,SOC,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Command%20Tower&format=image&version=normal"")",$0.25,{T}: Add one mana of any color in your commander's color identity.
1,Crossroads Village,true,false,,Lands,Common,FIN,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Crossroads%20Village&format=image&version=normal"")",$0.20,"This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color."
1,Cultivate,false,false,,Ramp,Common,SOC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cultivate&format=image&version=normal"")",$0.30,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
1,Cut a Deal,true,false,,Card Advantage,Uncommon,FIC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cut%20a%20Deal&format=image&version=normal"")",$0.26,"Each opponent draws a card, then you draw a card for each opponent who drew a card this way."
1,Darksteel Ingot,true,false,,Ramp,Common,PLST,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Darksteel%20Ingot&format=image&version=normal"")",$0.21,"Indestructible (Effects that say ""destroy"" don't destroy this artifact.) {T}: Add one mana of any color."
1,Desecration Plague,true,false,,On Theme,Common,JOU,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Desecration%20Plague&format=image&version=normal"")",$0.04,Destroy target enchantment or land.
1,Devilthorn Fox,true,false,,On Theme,Common,PLST,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Devilthorn%20Fox&format=image&version=normal"")",$0.19,
1,Druid of the Cowl,true,false,,Ramp,Common,FDN,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Druid%20of%20the%20Cowl&format=image&version=normal"")",$0.30,{T}: Add {G}.
