Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Mana Value,Image,Price,Rule Text
1,Airbender's Reversal,true,false,,Interaction,Uncommon,TLA,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Airbender%27s%20Reversal&format=image&version=normal"")",$0.24,"Choose one — • Destroy target attacking creature. • Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)"
1,"Alandra, Sky Dreamer",false,false,,On Theme,Rare,MKC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Alandra%2C%20Sky%20Dreamer&format=image&version=normal"")",$4.68,"Whenever you draw your second card each turn, create a 2/2 blue Drake creature token with flying. Whenever you draw your fifth card each turn, Alandra and Drakes you control each get +X/+X until end of turn, where X is the number of cards in your hand."
1,Arcane Signet,true,false,,Ramp,Mythic,HOC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arcane%20Signet&format=image&version=normal"")",,{T}: Add one mana of any color in your commander's color identity.
1,Archaeomancer's Map,true,false,,Ramp,Rare,SOC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Archaeomancer%27s%20Map&format=image&version=normal"")",$1.30,"When this artifact enters, search your library for up to two basic Plains cards, reveal them, put them into your hand, then shuffle. Whenever a land an opponent controls enters, if that player controls more lands than you, you may put a land card from your hand onto the battlefield."
1,Aven Wind Guide,true,false,,On Theme,Uncommon,AKH,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Aven%20Wind%20Guide&format=image&version=normal"")",$0.31,"Flying, vigilance Creature tokens you control have flying and vigilance. Embalm {4}{W}{U} ({4}{W}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Warrior with no mana cost. Embalm only as a sorcery.)"
1,Azorius Signet,true,false,,Ramp,Uncommon,TDC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Azorius%20Signet&format=image&version=normal"")",$0.24,"{1}, {T}: Add {W}{U}."
1,Banishing Light,true,false,,Interaction,Common,EOE,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Banishing%20Light&format=image&version=normal"")",$0.21,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield."
1,Bident of Thassa,false,false,,Card Advantage,Rare,BLC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Bident%20of%20Thassa&format=image&version=normal"")",$0.37,"Whenever a creature you control deals combat damage to a player, you may draw a card. {1}{U}, {T}: Creatures your opponents control attack this turn if able."
1,Bygone Bishop,false,false,,Card Advantage,Rare,CLB,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Bygone%20Bishop&format=image&version=normal"")",$0.31,"Flying Whenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
1,Captain of the Watch,false,false,,On Theme,Rare,PIP,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Captain%20of%20the%20Watch&format=image&version=normal"")",,"Vigilance (Attacking doesn't cause this creature to tap.) Other Soldier creatures you control get +1/+1 and have vigilance. When this creature enters, create three 1/1 white Soldier creature tokens."
1,Clarion Spirit,false,false,,On Theme,Uncommon,PLST,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Clarion%20Spirit&format=image&version=normal"")",$0.22,"Whenever you cast your second spell each turn, create a 1/1 white Spirit creature token with flying."
1,Coastal Piracy,true,false,,Card Advantage,Uncommon,TLE,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Coastal%20Piracy&format=image&version=normal"")",$0.28,"Whenever a creature you control deals combat damage to an opponent, you may draw a card."
1,Command Tower,false,false,,Lands,Common,SOC,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Command%20Tower&format=image&version=normal"")",$0.25,{T}: Add one mana of any color in your commander's color identity.
1,Curious Farm Animals,true,false,,Interaction,Common,TLA,1,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Curious%20Farm%20Animals&format=image&version=normal"")",$0.16,"When this creature dies, you gain 3 life. {2}, Sacrifice this creature: Destroy up to one target artifact or enchantment."
1,Decree of Justice,true,false,,Card Advantage,Uncommon,MH3,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Decree%20of%20Justice&format=image&version=normal"")",$0.27,"Create X 4/4 white Angel creature tokens with flying. Cycling {2}{W} ({2}{W}, Discard this card: Draw a card.) When you cycle this card, you may pay {X}. If you do, create X 1/1 white Soldier creature tokens."
1,Earth Kingdom Jailer,true,false,,Interaction,Uncommon,TLA,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Earth%20Kingdom%20Jailer&format=image&version=normal"")",$0.21,"When this creature enters, exile up to one target artifact, creature, or enchantment an opponent controls with mana value 3 or greater until this creature leaves the battlefield."
1,"Eluge, the Shoreless Sea",true,false,,On Theme,Mythic,BLB,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Eluge%2C%20the%20Shoreless%20Sea&format=image&version=normal"")",$4.00,"Eluge's power and toughness are each equal to the number of Islands you control. Whenever Eluge enters or attacks, put a flood counter on target land. It's an Island in addition to its other types for as long as it has a flood counter on it. The first instant or sorcery spell you cast each turn costs {U} (or {1}) less to cast for each land you control with a flood counter on it."
1,Emeria Angel,true,false,,On Theme,Rare,TDC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Emeria%20Angel&format=image&version=normal"")",$0.35,"Flying Landfall — Whenever a land you control enters, you may create a 1/1 white Bird creature token with flying."
1,Empyrean Eagle,false,false,,On Theme,Uncommon,FDN,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Empyrean%20Eagle&format=image&version=normal"")",$0.25,Flying Other creatures you control with flying get +1/+1.
1,Essence Scatter,true,false,,Interaction,Common,SOS,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Essence%20Scatter&format=image&version=normal"")",$0.19,Counter target creature spell.
1,Ethereal Investigator,false,false,,On Theme,Rare,MKC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ethereal%20Investigator&format=image&version=normal"")",$0.41,"Flying When this creature enters, investigate X times, where X is the number of opponents you have. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."") Whenever you draw your second card each turn, create a 1/1 white Spirit creature token with flying."
1,Everflowing Chalice,true,false,,Ramp,Uncommon,EOC,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Everflowing%20Chalice&format=image&version=normal"")",$0.36,Multikicker {2} (You may pay an additional {2} any number of times as you cast this spell.) This artifact enters with a charge counter on it for each time it was kicked. {T}: Add {C} for each charge counter on this artifact.
1,Favorable Winds,false,false,,On Theme,Uncommon,SCD,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Favorable%20Winds&format=image&version=normal"")",$0.27,Creatures you control with flying get +1/+1.
1,Felidar Retreat,false,false,,On Theme,Rare,SLD,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Felidar%20Retreat&format=image&version=normal"")",$4.02,"Landfall — Whenever a land you control enters, choose one — • Create a 2/2 white Cat Beast creature token. • Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn."
1,Fell the Mighty,true,false,,Wrath,Rare,SLD,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Fell%20the%20Mighty&format=image&version=normal"")",$1.91,Destroy all creatures with power greater than target creature's power.
1,Fire Nation Warship,true,false,,On Theme,Uncommon,TLA,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Fire%20Nation%20Warship&format=image&version=normal"")",$0.14,"Reach When this Vehicle dies, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."") Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)"
1,Glacial Fortress,true,false,,Lands,Rare,EOC,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Glacial%20Fortress&format=image&version=normal"")",$0.34,This land enters tapped unless you control a Plains or an Island. {T}: Add {W} or {U}.
1,Hedron Archive,true,false,,Card Advantage,Uncommon,FDN,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Hedron%20Archive&format=image&version=normal"")",,"{T}: Add {C}{C}. {2}, {T}, Sacrifice this artifact: Draw two cards."
1,Idol of Oblivion,false,false,,Card Advantage,Rare,TDC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Idol%20of%20Oblivion&format=image&version=normal"")",$0.92,"{T}: Draw a card. Activate only if you created a token this turn. {8}, {T}, Sacrifice this artifact: Create a 10/10 colorless Eldrazi creature token."
1,Idyllic Beachfront,true,false,,Lands,Common,FIC,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Idyllic%20Beachfront&format=image&version=normal"")",$0.22,({T}: Add {W} or {U}.) This land enters tapped.
1,Inspired Insurgent,true,false,,Interaction,Common,TLE,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Inspired%20Insurgent&format=image&version=normal"")",$0.11,"{1}, Sacrifice this creature: Destroy target artifact or enchantment."
1,Intangible Virtue,false,false,,On Theme,Uncommon,INR,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Intangible%20Virtue&format=image&version=normal"")",$0.42,Creature tokens you control get +1/+1 and have vigilance.
1,Irrigated Farmland,true,false,,Lands,Rare,SLD,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Irrigated%20Farmland&format=image&version=normal"")",$1.97,"({T}: Add {W} or {U}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)"
14,Island,true,false,,Lands,Common,HOB,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Island&format=image&version=normal"")",,({T}: Add {U}.)
1,Journey to Nowhere,true,false,,Interaction,Common,PLST,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Journey%20to%20Nowhere&format=image&version=normal"")",$0.19,"When this enchantment enters, exile target creature. When this enchantment leaves the battlefield, return the exiled card to the battlefield under its owner's control."
1,"Katara, Water Tribe's Hope",true,false,,On Theme,Rare,PTLA,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Katara%2C%20Water%20Tribe%27s%20Hope&format=image&version=normal"")",,"Vigilance When Katara enters, create a 1/1 white Ally creature token. Waterbend {X}: Creatures you control have base power and toughness X/X until end of turn. X can't be 0. Activate only during your turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)"
1,Keeper of the Accord,true,false,,On Theme,Rare,PIP,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Keeper%20of%20the%20Accord&format=image&version=normal"")",$0.44,"At the beginning of each opponent's end step, if that player controls more creatures than you, create a 1/1 white Soldier creature token. At the beginning of each opponent's end step, if that player controls more lands than you, you may search your library for a basic Plains card, put it onto the battlefield tapped, then shuffle."
1,Loyal Unicorn,true,false,,On Theme,Uncommon,CMM,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Loyal%20Unicorn&format=image&version=normal"")",$0.21,"Vigilance Lieutenant — At the beginning of combat on your turn, if you control your commander, prevent all combat damage that would be dealt to creatures you control this turn. Other creatures you control gain vigilance until end of turn."
1,Luminarch Ascension,false,false,,On Theme,Rare,A25,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Luminarch%20Ascension&format=image&version=normal"")",$14.15,"At the beginning of each opponent's end step, if you didn't lose life this turn, you may put a quest counter on this enchantment. (Damage causes loss of life.) {1}{W}: Create a 4/4 white Angel creature token with flying. Activate only if this enchantment has four or more quest counters on it."
1,Mind Stone,true,false,,Card Advantage,Uncommon,SOC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Mind%20Stone&format=image&version=normal"")",$0.34,"{T}: Add {C}. {1}, {T}, Sacrifice this artifact: Draw a card."
1,Negate,true,false,,Interaction,Common,TMT,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Negate&format=image&version=normal"")",$0.14,Counter target noncreature spell.
