Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Mana Value,Image,Price,Rule Text
1,Airbender's Reversal,true,true,Too narrow — only hits attacking creatures; replaced by Propaganda for persistent attack deterrence across all opponents.,On Theme,Uncommon,TLA,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Airbender%27s%20Reversal&format=image&version=normal"")",$0.24,"Choose one — • Destroy target attacking creature. • Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)"
1,"Alandra, Sky Dreamer",true,false,,Card Advantage,Rare,MKC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Alandra%2C%20Sky%20Dreamer&format=image&version=normal"")",$5.51,"Whenever you draw your second card each turn, create a 2/2 blue Drake creature token with flying. Whenever you draw your fifth card each turn, Alandra and Drakes you control each get +X/+X until end of turn, where X is the number of cards in your hand."
1,Arcane Signet,true,false,,Ramp,Uncommon,SOC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arcane%20Signet&format=image&version=normal"")",$0.51,{T}: Add one mana of any color in your commander's color identity.
1,Archaeomancer's Map,true,false,,Ramp,Rare,SOC,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Archaeomancer%27s%20Map&format=image&version=normal"")",$1.31,"When this artifact enters, search your library for up to two basic Plains cards, reveal them, put them into your hand, then shuffle. Whenever a land an opponent controls enters, if that player controls more lands than you, you may put a land card from your hand onto the battlefield."
1,Aven Wind Guide,true,false,,On Theme,Uncommon,AKH,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Aven%20Wind%20Guide&format=image&version=normal"")",$0.31,"Flying, vigilance Creature tokens you control have flying and vigilance. Embalm {4}{W}{U} ({4}{W}{U}, Exile this card from your graveyard: Create a token that's a copy of it, except it's a white Zombie Bird Warrior with no mana cost. Embalm only as a sorcery.)"
1,Azorius Signet,true,false,,Ramp,Uncommon,TDC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Azorius%20Signet&format=image&version=normal"")",$0.36,"{1}, {T}: Add {W}{U}."
1,Banishing Light,true,false,,Interaction,Common,EOE,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Banishing%20Light&format=image&version=normal"")",$0.18,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield."
1,Bident of Thassa,true,false,,Card Advantage,Rare,BLC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Bident%20of%20Thassa&format=image&version=normal"")",$0.37,"Whenever a creature you control deals combat damage to a player, you may draw a card. {1}{U}, {T}: Creatures your opponents control attack this turn if able."
1,Bygone Bishop,true,false,,Card Advantage,Rare,CLB,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Bygone%20Bishop&format=image&version=normal"")",$0.31,"Flying Whenever you cast a creature spell with mana value 3 or less, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")"
1,Captain of the Watch,true,false,,On Theme,Rare,PIP,6,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Captain%20of%20the%20Watch&format=image&version=normal"")",$0.31,"Vigilance (Attacking doesn't cause this creature to tap.) Other Soldier creatures you control get +1/+1 and have vigilance. When this creature enters, create three 1/1 white Soldier creature tokens."
