Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Mana Value,Image,Price,Rule Text
1,Abrade,true,false,,Interaction,Uncommon,SOC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Abrade&format=image&version=normal"")",$0.21,Choose one — • Abrade deals 3 damage to target creature. • Destroy target artifact.
1,Access Tunnel,true,false,,Lands,Rare,PW26,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Access%20Tunnel&format=image&version=normal"")",$0.22,"{T}: Add {C}. {3}, {T}: Target creature with power 3 or less can't be blocked this turn."
1,Anzrag's Rampage,true,false,,On Theme,Rare,MKM,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Anzrag%27s%20Rampage&format=image&version=normal"")",$0.24,"Destroy all artifacts you don't control, then exile the top X cards of your library, where X is the number of artifacts that were put into graveyards from the battlefield this turn. You may put a creature card exiled this way onto the battlefield. It gains haste. Return it to your hand at the beginning of the next end step."
1,Arcane Signet,true,false,,Ramp,Uncommon,MSC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arcane%20Signet&format=image&version=normal"")",$0.44,{T}: Add one mana of any color in your commander's color identity.
1,Ash Barrens,true,false,,Lands,Common,TMC,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ash%20Barrens&format=image&version=normal"")",$0.34,"{T}: Add {C}. Basic landcycling {1} ({1}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)"
1,Avengers Disassembled,true,false,,Interaction,Rare,MSH,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Avengers%20Disassembled&format=image&version=normal"")",$0.49,"Choose one or both — • Avengers Disassembled deals 3 damage to each creature. • Destroy target land. Its controller may search their library for a basic land card, put it onto the battlefield tapped, then shuffle."
1,Basalt Monolith,true,false,,Ramp,Uncommon,MB2,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Basalt%20Monolith&format=image&version=normal"")",$4.01,This artifact doesn't untap during your untap step. {T}: Add {C}{C}{C}. {3}: Untap this artifact.
1,Baxter Building,true,false,,Lands,Uncommon,MSH,0,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Baxter%20Building&format=image&version=normal"")",$0.20,"{T}: Add {C}. {4}, {T}: Add four mana in any combination of colors. {4}, {T}: Draw a card. Activate only if you control a creature with toughness 4 or greater."
1,Big Score,true,false,,Card Advantage,Common,MSC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Big%20Score&format=image&version=normal"")",$0.40,"As an additional cost to cast this spell, discard a card. Draw two cards and create two Treasure tokens. (They're artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")"
1,Blasphemous Act,true,false,,Wrath,Rare,PLST,9,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Blasphemous%20Act&format=image&version=normal"")",$1.43,This spell costs {1} less to cast for each creature on the battlefield. Blasphemous Act deals 13 damage to each creature.
1,Broadcast Takeover,true,true,"Replaced by Prismari Pianist — only relevant if opponents control artifacts; Prismari Pianist makes 3 tokens instead of 1 when the spell cast is MV5+, directly rewarding the big spells Scarlet Witch discounts",On Theme,Mythic,TMT,5,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Broadcast%20Takeover&format=image&version=normal"")",$0.62,Gain control of all artifacts your opponents control until end of turn. Untap them. They gain haste until end of turn.
1,"Casey Jones, Vigilante",true,false,,Card Advantage,Rare,TMT,3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Casey%20Jones%2C%20Vigilante&format=image&version=normal"")",$0.37,"When Casey Jones enters, draw three cards. At the beginning of your next upkeep, discard three cards at random."
1,Cathartic Pyre,true,false,,Interaction,Uncommon,ECC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cathartic%20Pyre&format=image&version=normal"")",$0.27,"Choose one — • Cathartic Pyre deals 3 damage to target creature or planeswalker. • Discard up to two cards, then draw that many cards."
1,Cathartic Reunion,true,false,,Card Advantage,Common,ECC,2,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Cathartic%20Reunion&format=image&version=normal"")",$0.36,"As an additional cost to cast this spell, discard two cards. Draw three cards."
1,Chain Reaction,true,false,,Wrath,Rare,SOC,4,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Chain%20Reaction&format=image&version=normal"")",$0.34,"Chain Reaction deals X damage to each creature, where X is the number of creatures on the battlefield."
