Quantity,Card Title,Have Physical Copy,Cut,Cut Reason,Deck Rule,Rarity,MTG Edition,Image,Price
1,"Katara, Water Tribe's Hope",true,false,,On Theme,Rare,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Katara%2C%20Water%20Tribe%27s%20Hope&format=image&version=normal"")",0.34$
1,Curious Farm Animals,true,false,,Interaction,Common,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Curious%20Farm%20Animals&format=image&version=normal"")",0.16$
1,Inspired Insurgent,true,false,,Interaction,Common,TLE,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Inspired%20Insurgent&format=image&version=normal"")",0.12$
1,Invasion Reinforcements,true,false,,On Theme,Uncommon,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Invasion%20Reinforcements&format=image&version=normal"")",0.25$
1,Ornithopter of Paradise,true,false,,Ramp,Common,CMM,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ornithopter%20of%20Paradise&format=image&version=normal"")",0.76$
1,Resolute Reinforcements,true,false,,On Theme,Uncommon,FDN,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Resolute%20Reinforcements&format=image&version=normal"")",0.25$
1,"Tetsuko Umezawa, Fugitive",true,false,,On Theme,Uncommon,CMM,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Tetsuko%20Umezawa%2C%20Fugitive&format=image&version=normal"")",0.16$
1,Earth Kingdom Jailer,true,false,,Interaction,Uncommon,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Earth%20Kingdom%20Jailer&format=image&version=normal"")",0.21$
1,"Appa, Aang's Companion",true,false,,On Theme,Uncommon,TLE,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Appa%2C%20Aang%27s%20Companion&format=image&version=normal"")",0.37$
1,Aven Wind Guide,true,false,,On Theme,Uncommon,AKH,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Aven%20Wind%20Guide&format=image&version=normal"")",0.31$
1,"Eluge, the Shoreless Sea",true,false,,On Theme,Mythic,BLB,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Eluge%2C%20the%20Shoreless%20Sea&format=image&version=normal"")",4.02$
1,Emeria Angel,true,false,,On Theme,Rare,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Emeria%20Angel&format=image&version=normal"")",0.36$
1,Keeper of the Accord,true,false,,Ramp,Rare,MKC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Keeper%20of%20the%20Accord&format=image&version=normal"")",0.43$
1,Loyal Unicorn,true,false,,Interaction,Uncommon,CMM,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Loyal%20Unicorn&format=image&version=normal"")",0.24$
1,"Odric, Lunarch Marshal",true,false,,On Theme,Rare,INR,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Odric%2C%20Lunarch%20Marshal&format=image&version=normal"")",1.12$
1,"Appa, Loyal Sky Bison",true,false,,On Theme,Uncommon,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Appa%2C%20Loyal%20Sky%20Bison&format=image&version=normal"")",0.31$
1,Threefold Thunderhulk,true,false,,On Theme,Rare,EOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Threefold%20Thunderhulk&format=image&version=normal"")",0.33$
1,The Walls of Ba Sing Se,true,false,,Interaction,Mythic,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=The%20Walls%20of%20Ba%20Sing%20Se&format=image&version=normal"")",27.37$
1,Welcoming Vampire,false,false,,Card Advantage,Rare,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Welcoming%20Vampire&format=image&version=normal"")",2.81$
1,Aerial Extortionist,false,false,,Card Advantage,Rare,MKC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Aerial%20Extortionist&format=image&version=normal"")",4.07$
1,"Adeline, Resplendent Cathar",false,false,,On Theme,Rare,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Adeline%2C%20Resplendent%20Cathar&format=image&version=normal"")",2.68$
1,Curiosity Crafter,false,false,,Card Advantage,Rare,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Curiosity%20Crafter&format=image&version=normal"")",0.27$
1,Mentor of the Meek,false,false,,Card Advantage,Uncommon,INR,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Mentor%20of%20the%20Meek&format=image&version=normal"")",0.40$
1,Ajani's Chosen,false,false,,On Theme,Rare,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Ajani%27s%20Chosen&format=image&version=normal"")",0.26$
1,Everflowing Chalice,true,false,,Ramp,Uncommon,EOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Everflowing%20Chalice&format=image&version=normal"")",0.35$
1,Skeleton Key,true,false,,Card Advantage,Uncommon,SOI,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Skeleton%20Key&format=image&version=normal"")",0.35$
1,Sol Ring,true,false,,Ramp,Uncommon,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Sol%20Ring&format=image&version=normal"")",1.11$
1,Wayfarer's Bauble,true,false,,Ramp,Common,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Wayfarer%27s%20Bauble&format=image&version=normal"")",0.29$
1,Arcane Signet,true,false,,Ramp,Uncommon,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Arcane%20Signet&format=image&version=normal"")",0.43$
1,Azorius Signet,true,false,,Ramp,Uncommon,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Azorius%20Signet&format=image&version=normal"")",0.25$
1,Mind Stone,true,false,,Ramp,Uncommon,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Mind%20Stone&format=image&version=normal"")",0.33$
1,Swiftfoot Boots,true,false,,Interaction,Uncommon,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Swiftfoot%20Boots&format=image&version=normal"")",2.22$
1,Talisman of Progress,true,false,,Ramp,Uncommon,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Talisman%20of%20Progress&format=image&version=normal"")",0.37$
1,Thought Vessel,true,false,,Ramp,Common,DSC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Thought%20Vessel&format=image&version=normal"")",2.61$
1,Archaeomancer's Map,true,false,,Ramp,Rare,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Archaeomancer%27s%20Map&format=image&version=normal"")",1.29$
1,Hedron Archive,true,false,,Ramp,Uncommon,FDN,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Hedron%20Archive&format=image&version=normal"")",0.18$
1,Idol of Oblivion,false,false,,Card Advantage,Rare,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Idol%20of%20Oblivion&format=image&version=normal"")",0.99$
1,Thran Dynamo,false,false,,Ramp,Uncommon,CMM,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Thran%20Dynamo&format=image&version=normal"")",4.08$
1,Gilded Lotus,false,false,,Ramp,Rare,FDN,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Gilded%20Lotus&format=image&version=normal"")",0.47$
1,Journey to Nowhere,true,false,,Interaction,Common,CMD,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Journey%20to%20Nowhere&format=image&version=normal"")",0.47$
1,Uneasy Alliance,true,false,,Interaction,Common,TMT,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Uneasy%20Alliance&format=image&version=normal"")",0.11$
1,Banishing Light,true,false,,Interaction,Common,EOE,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Banishing%20Light&format=image&version=normal"")",0.19$
1,Coastal Piracy,true,false,,Card Advantage,Uncommon,JMP,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Coastal%20Piracy&format=image&version=normal"")",0.92$
1,Restricted Office // Lecture Hall,true,false,,Wrath,Rare,DSK,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Restricted%20Office%20%2F%2F%20Lecture%20Hall&format=image&version=normal"")",0.18$
1,Reconnaissance Mission,false,false,,Card Advantage,Uncommon,VOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Reconnaissance%20Mission&format=image&version=normal"")",1.50$
1,Tocasia's Welcome,false,false,,Card Advantage,Rare,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Tocasia%27s%20Welcome&format=image&version=normal"")",0.58$
1,Military Intelligence,false,false,,Card Advantage,Uncommon,ZNC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Military%20Intelligence&format=image&version=normal"")",0.36$
1,Path to Exile,true,false,,Interaction,Uncommon,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Path%20to%20Exile&format=image&version=normal"")",0.99$
1,Airbender's Reversal,true,false,,Interaction,Uncommon,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Airbender%27s%20Reversal&format=image&version=normal"")",0.26$
1,Essence Scatter,true,false,,Interaction,Common,SOS,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Essence%20Scatter&format=image&version=normal"")",0.20$
1,Negate,true,false,,Interaction,Common,TMT,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Negate&format=image&version=normal"")",0.27$
1,Stroke of Midnight,true,false,,Interaction,Uncommon,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Stroke%20of%20Midnight&format=image&version=normal"")",0.34$
1,White Sun's Zenith,true,false,,On Theme,Rare,CMR,"=IMAGE(""https://api.scryfall.com/cards/named?exact=White%20Sun%27s%20Zenith&format=image&version=normal"")",0.32$
1,The Last Ronin's Technique,true,false,,On Theme,Uncommon,TMT,"=IMAGE(""https://api.scryfall.com/cards/named?exact=The%20Last%20Ronin%27s%20Technique&format=image&version=normal"")",0.25$
1,Generous Gift,false,false,,Interaction,Uncommon,LCC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Generous%20Gift&format=image&version=normal"")",1.62$
1,Swords to Plowshares,false,false,,Interaction,Uncommon,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Swords%20to%20Plowshares&format=image&version=normal"")",1.33$
1,Path of the Ghosthunter,true,false,,On Theme,Rare,MOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Path%20of%20the%20Ghosthunter&format=image&version=normal"")",0.30$
1,The Battle of Bywater,true,false,,Wrath,Rare,LTR,"=IMAGE(""https://api.scryfall.com/cards/named?exact=The%20Battle%20of%20Bywater&format=image&version=normal"")",3.08$
1,Decree of Justice,true,false,,On Theme,Uncommon,MH3,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Decree%20of%20Justice&format=image&version=normal"")",0.27$
1,Expel the Interlopers,true,false,,Wrath,Rare,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Expel%20the%20Interlopers&format=image&version=normal"")",0.28$
1,Fell the Mighty,true,false,,Wrath,Rare,MKC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Fell%20the%20Mighty&format=image&version=normal"")",0.22$
1,Dusk // Dawn,true,false,,Wrath,Rare,MKC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Dusk%20%2F%2F%20Dawn&format=image&version=normal"")",0.32$
1,Glacial Fortress,true,false,,Lands,Rare,EOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Glacial%20Fortress&format=image&version=normal"")",0.33$
1,Idyllic Beachfront,true,false,,Lands,Common,DMU,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Idyllic%20Beachfront&format=image&version=normal"")",0.26$
1,Irrigated Farmland,true,false,,Lands,Rare,EOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Irrigated%20Farmland&format=image&version=normal"")",0.17$
14,Island,true,false,,Lands,Common,HOB,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Island&format=image&version=normal"")",
1,North Pole Gates,true,false,,Lands,Common,TLA,"=IMAGE(""https://api.scryfall.com/cards/named?exact=North%20Pole%20Gates&format=image&version=normal"")",0.24$
13,Plains,true,false,,Lands,Common,HOB,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Plains&format=image&version=normal"")",
1,Port Town,true,false,,Lands,Rare,CMM,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Port%20Town&format=image&version=normal"")",0.22$
1,Prairie Stream,true,false,,Lands,Rare,TDC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Prairie%20Stream&format=image&version=normal"")",0.26$
1,Skycloud Expanse,true,false,,Lands,Rare,EOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Skycloud%20Expanse&format=image&version=normal"")",0.27$
1,Temple of Enlightenment,true,false,,Lands,Rare,EOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Temple%20of%20Enlightenment&format=image&version=normal"")",0.26$
1,Thriving Heath,true,false,,Lands,Common,ECC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Thriving%20Heath&format=image&version=normal"")",0.23$
1,Thriving Isle,true,false,,Lands,Common,TMC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Thriving%20Isle&format=image&version=normal"")",0.29$
1,Command Tower,false,false,,Lands,Common,SOC,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Command%20Tower&format=image&version=normal"")",0.34$
1,Stalactite Dagger,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Common,ECL,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Stalactite%20Dagger&format=image&version=normal"")",0.23$
1,Magitek Armor,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,FIN,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Magitek%20Armor&format=image&version=normal"")",0.06$
1,Stormbeacon Blade,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,TDM,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Stormbeacon%20Blade&format=image&version=normal"")",0.25$
1,Guarded Heir,,true,Trimmed low-impact equipment and one-shot/low-impact spells to add repeatable draw engines and explosive ramp.,On Theme,Uncommon,FDN,"=IMAGE(""https://api.scryfall.com/cards/named?exact=Guarded%20Heir&format=image&version=normal"")",0.11$
